,,,,,,,,Eurobarometer - 99.2,,,,,,,,,,,,,,,,,,,,,,,
,,VOL A weighted,,,,,Terrain/Fieldwork :  11/04 - 16/05/2023,,,,,,,,,,,,,,,,,,,,,,,,
,"QB1.4. Pour chacun des types de discrimination suivants, dites-moi si, selon vous, il s'agit de quelque chose de très répandu, assez répandu, plutôt rare ou très rare en (NOTRE PAYS) ? Les discriminations désignent le fait d'être traité de manière défavorable par rapport à d'autres personnes, sur la base de critères arbitraires. Des discriminations basées sur…  ",,,,,,"QB1.4. For each of the following types of discrimination, could you please tell me whether, in your opinion, it is very widespread, fairly widespread, fairly rare or very rare in (OUR COUNTRY)? By discrimination we mean when somebody is treated unfavourably compared with others based on arbitrary criteria. Discrimination on the basis of… ",,,,,,,,,,,,,,,,,,,,,,,,
,"L'orientation sexuelle (être par exemple lesbienne, gay ou bisexuel·le)",,,,,,"Sexual orientation (for example being lesbian, gay or bisexual)",,,,,,,,,,,,,,,,,,,,,,,,
,Base: Ensemble,,,,,,Base: All respondents,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"UE27
EU27",BE,BG,CZ,DK,D-W,DE,D-E,EE,IE,EL,ES,FR,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE
,Being transgender,-,1%,-,-,-,-,-,-,-,-,-,-,-,1%,1%,-,-,-,1%,-,-,-,2%,1%,-,1%,-,1%,-,-
,Être intersexe,95,6,7,0,0,1,1,0,8,1,2,0,0,9,11,3,0,0,1,2,1,0,16,8,0,8,2,6,1,0
,Being intersex,-,1%,1%,-,-,-,-,-,1%,-,-,-,-,1%,1%,1%,-,-,-,-,-,-,2%,1%,-,1%,-,1%,-,-
,"Non, vous ne vous êtes pas senti·e discriminé ·e ou vous n'avez pas été harcelé·e",20710,621,849,837,775,918,1137,219,699,831,886,844,724,800,838,392,820,826,361,890,398,746,713,866,920,839,858,820,812,730
,"No, you haven't been discriminated against or experienced harassment",78%,61%,84%,82%,76%,75%,75%,73%,69%,82%,87%,84%,72%,79%,82%,78%,81%,82%,71%,87%,77%,74%,70%,85%,90%,80%,86%,80%,80%,72%
,Ne sait pas,89,8,17,3,15,1,2,1,11,14,0,1,6,0,2,4,4,8,2,1,2,3,2,2,2,5,8,4,4,6
,Don't know,-,1%,2%,-,2%,-,-,-,1%,1%,-,-,1%,-,-,1%,-,1%,-,-,-,-,-,-,-,-,1%,-,-,1%
,Total 'A été discriminé',5599,382,146,185,229,308,386,78,300,171,128,159,276,212,187,107,184,171,145,130,114,255,297,146,99,210,134,196,193,283
,Total 'Has felt discriminated',21%,38%,14%,18%,22%,25%,25%,26%,30%,17%,13%,16%,27%,21%,18%,21%,18%,17%,29%,13%,22%,25%,29%,14%,10%,20%,13%,19%,19%,28%
,,VOL A weighted,,,,,Terrain/Fieldwork :  11/04 - 16/05/2023,,,,,,,,,,,,,,,,,,,,,,,,
,QB2T. Avoir été persécuté au cours des 12 derniers mois,,,,,,QB2T. Having personnaly felt discriminated against in the past 12 months,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Base: Ensemble,,,,,,Base: All respondents,,,,,,,,,,,,,,,,,,,,,,,,
,Orientation sexuelle,430,40,10,7,23,19,24,5,11,12,6,7,12,11,26,3,10,0,16,4,10,26,43,16,5,26,6,18,11,18
,Sexual orientation,2%,4%,1%,1%,2%,2%,2%,2%,1%,1%,1%,1%,1%,1%,3%,-,1%,-,3%,-,2%,3%,4%,2%,-,2%,1%,2%,1%,2%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,VOL A weighted,,,,,Terrain/Fieldwork :  11/04 - 16/05/2023,,,,,,,,,,,,,,,,,,,,,,,,
,"QB4. Lorsqu'une entreprise cherche à embaucher une personne et qu'elle a le choix entre deux candidat.e.s de compétences et de qualifications égales, quels sont dans la liste suivante tous les critères qui, selon vous, peuvent défavoriser un.e candidat.e ?  (PLUSIEURS RÉPONSES POSSIBLES) ",,,,,,"QB4. When a company wants to hire someone and has the choice between two candidates with equal skills and qualifications, which of the following criteria may, in your opinion, put one candidate at a disadvantage? (MULTIPLE ANSWERS POSSIBLE)",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Base: Ensemble,,,,,,Base: All respondents,,,,,,,,,,,,,,,,,,,,,,,,
<<Back to content,,"UE27
EU27",BE,BG,CZ,DK,D-W,DE,D-E,EE,IE,EL,ES,FR,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE
,Total,26399,1011,1012,1025,1019,1227,1525,298,1009,1016,1014,1004,1006,1012,1027,504,1009,1005,508,1021,514,1004,1012,1015,1021,1053,1000,1021,1009,1019
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Le nom du ou de la candidat·e,5422,319,64,49,371,341,407,66,125,159,66,48,494,154,41,105,28,54,153,89,26,534,228,30,36,48,186,84,317,600
,The candidate's name,21%,32%,6%,5%,36%,28%,27%,22%,12%,16%,7%,5%,49%,15%,4%,21%,3%,5%,30%,9%,5%,53%,22%,3%,4%,5%,19%,8%,31%,59%
,L'adresse du ou de la candidat·e,2990,69,24,74,161,217,258,41,60,292,44,39,273,24,28,34,38,28,79,56,64,202,115,26,37,45,87,48,49,227
,The candidate's address,11%,7%,2%,7%,16%,18%,17%,14%,6%,29%,4%,4%,27%,2%,3%,7%,4%,3%,16%,5%,13%,20%,11%,3%,4%,4%,9%,5%,5%,22%
,La façon de parler ou l'accent du ou de la candidat·e,9249,369,216,274,463,472,589,117,320,355,388,231,521,153,295,208,222,315,217,304,186,650,485,178,165,224,286,223,328,734
,The candidate's way of speaking or his or her accent,35%,37%,21%,27%,45%,38%,39%,39%,32%,35%,38%,23%,52%,15%,29%,41%,22%,31%,43%,30%,36%,65%,48%,18%,16%,21%,29%,22%,32%,72%
,L'origine ethnique du ou de la candidat·e,8910,426,270,264,530,438,529,91,269,314,425,298,489,217,272,224,177,154,212,418,259,662,364,119,228,136,280,233,543,562
,The candidate's ethnic origin,34%,42%,27%,26%,52%,36%,35%,31%,27%,31%,42%,30%,49%,21%,26%,44%,18%,15%,42%,41%,50%,66%,36%,12%,22%,13%,28%,23%,54%,55%
,La couleur de peau du ou de la candidat·e,10191,510,172,309,476,507,649,142,243,366,370,280,590,267,316,249,168,188,246,451,293,649,473,231,315,136,288,325,488,562
,The candidate's skin colour,39%,50%,17%,30%,47%,41%,43%,48%,24%,36%,37%,28%,59%,26%,31%,49%,17%,19%,48%,44%,57%,65%,47%,23%,31%,13%,29%,32%,48%,55%
,Le fait que le ou la candidat·e soit rom,11110,382,329,455,467,461,589,128,194,418,689,409,502,442,433,253,285,421,190,649,162,502,395,240,463,227,586,519,701,617
,The candidate's being Roma,42%,38%,32%,44%,46%,38%,39%,43%,19%,41%,68%,41%,50%,44%,42%,50%,28%,42%,37%,64%,31%,50%,39%,24%,45%,22%,59%,51%,69%,61%
,Le sexe du ou de la candidat·e (homme ou femme),8136,295,169,241,449,423,529,105,346,297,315,284,427,235,211,175,196,266,176,290,188,501,447,199,242,181,302,285,341,476
,The candidate's gender or sex (man or woman),31%,29%,17%,24%,44%,34%,35%,35%,34%,29%,31%,28%,42%,23%,21%,35%,19%,26%,35%,28%,37%,50%,44%,20%,24%,17%,30%,28%,34%,47%
,L'identité de genre du ou de la candidat·e (par exemple être transgenre),7744,318,157,147,349,370,461,91,221,266,325,253,392,295,271,168,152,248,156,236,177,504,316,215,284,142,318,193,392,502
,The candidate's gender identity (for example being transgender),29%,31%,15%,14%,34%,30%,30%,31%,22%,26%,32%,25%,39%,29%,26%,33%,15%,25%,31%,23%,34%,50%,31%,21%,28%,14%,32%,19%,39%,49%
